At. Madrid;1;0;1;3;0;1;0;
Valencia;1;3;3;1;1;0;0;
Barcelona;1;3;3;1;1;0;0;
Dptivo. Coruna;1;0;1;3;0;1;0;
Burgos;1;3;1;0;1;0;0;
Real Sociedad;1;0;0;1;0;1;0;
Castellon;1;0;2;3;0;1;0;
Real Madrid;1;3;3;2;1;0;0;
Celta;1;1;1;1;0;0;1;
Espanyol;1;1;1;1;0;0;1;
Granada;1;1;0;0;0;0;1;
Zaragoza;1;1;0;0;0;0;1;
Las Palmas;1;3;2;1;1;0;0;
Oviedo;1;0;1;2;0;1;0;
Malaga (C.D.);1;1;0;0;0;0;1;
Ath. Bilbao;1;1;0;0;0;0;1;
Sporting Gijon;1;3;1;0;1;0;0;
Betis;1;0;0;1;0;1;0;
Ath. Bilbao;2;2;1;1;0;0;2;
Celta;2;2;2;2;0;0;2;
Betis;2;0;0;3;0;2;0;
Las Palmas;2;6;4;1;2;0;0;
Dptivo. Coruna;2;1;1;3;0;1;1;
Granada;2;2;0;0;0;0;2;
Espanyol;2;4;2;1;1;0;1;
Castellon;2;0;2;4;0;2;0;
Oviedo;2;0;1;4;0;2;0;
At. Madrid;2;3;3;3;1;1;0;
Real Madrid;2;6;4;2;2;0;0;
Sporting Gijon;2;3;1;1;1;1;0;
Real Sociedad;2;1;1;2;0;1;1;
Malaga (C.D.);2;2;1;1;0;0;2;
Valencia;2;3;3;2;1;1;0;
Barcelona;2;6;4;1;2;0;0;
Zaragoza;2;4;2;0;1;0;1;
Burgos;2;3;1;2;1;1;0;
At. Madrid;3;6;5;4;2;1;0;
Betis;3;0;1;5;0;3;0;
Barcelona;3;9;7;2;3;0;0;
Oviedo;3;0;2;7;0;3;0;
Burgos;3;4;3;4;1;1;1;
Malaga (C.D.);3;3;3;3;0;0;3;
Castellon;3;0;3;8;0;3;0;
Ath. Bilbao;3;5;5;2;1;0;2;
Celta;3;2;2;3;0;1;2;
Real Sociedad;3;4;2;2;1;1;1;
Granada;3;3;1;1;0;0;3;
Valencia;3;4;4;3;1;1;1;
Las Palmas;3;7;5;2;2;0;1;
Real Madrid;3;7;5;3;2;0;1;
Sporting Gijon;3;4;1;1;1;1;1;
Espanyol;3;5;2;1;1;0;2;
Zaragoza;3;7;7;0;2;0;1;
Dptivo. Coruna;3;1;1;8;0;2;1;
Ath. Bilbao;4;8;7;2;2;0;2;
Sporting Gijon;4;4;1;3;1;2;1;
Betis;4;0;1;7;0;4;0;
Barcelona;4;12;9;2;4;0;0;
Dptivo. Coruna;4;4;3;9;1;2;1;
Burgos;4;4;4;6;1;2;1;
Espanyol;4;8;6;1;2;0;2;
Las Palmas;4;7;5;6;2;1;1;
Malaga (C.D.);4;6;4;3;1;0;3;
Celta;4;2;2;4;0;2;2;
Oviedo;4;3;5;7;1;3;0;
Granada;4;3;1;4;0;1;3;
Real Madrid;4;7;5;4;2;1;1;
At. Madrid;4;9;6;4;3;1;0;
Real Sociedad;4;5;2;2;1;1;2;
Castellon;4;1;3;8;0;3;1;
Valencia;4;5;4;3;1;1;2;
Zaragoza;4;8;7;0;2;0;2;
At. Madrid;5;10;6;4;3;1;1;
Espanyol;5;9;6;1;2;0;3;
Barcelona;5;15;10;2;5;0;0;
Real Madrid;5;7;5;5;2;2;1;
Burgos;5;5;4;6;1;2;2;
Celta;5;3;2;4;0;2;3;
Castellon;5;4;4;8;1;3;1;
Malaga (C.D.);5;6;4;4;1;1;3;
Dptivo. Coruna;5;5;4;10;1;2;2;
Valencia;5;6;5;4;1;1;3;
Granada;5;4;1;4;0;1;4;
Betis;5;1;1;7;0;4;1;
Las Palmas;5;10;6;6;3;1;1;
Ath. Bilbao;5;8;7;3;2;1;2;
Sporting Gijon;5;7;4;3;2;2;1;
Real Sociedad;5;5;2;5;1;2;2;
Zaragoza;5;11;10;0;3;0;2;
Oviedo;5;3;5;10;1;4;0;
Ath. Bilbao;6;11;8;3;3;1;2;
At. Madrid;6;10;6;5;3;2;1;
Betis;6;2;2;8;0;4;2;
Zaragoza;6;12;11;1;3;0;3;
Celta;6;6;4;4;1;2;3;
Castellon;6;4;4;10;1;4;1;
Espanyol;6;10;7;2;2;0;4;
Barcelona;6;16;11;3;5;0;1;
Malaga (C.D.);6;9;5;4;2;1;3;
Sporting Gijon;6;7;4;4;2;3;1;
Oviedo;6;4;5;10;1;4;1;
Dptivo. Coruna;6;6;4;10;1;2;3;
Real Madrid;6;10;7;6;3;2;1;
Granada;6;4;2;6;0;2;4;
Real Sociedad;6;8;3;5;2;2;2;
Las Palmas;6;10;6;7;3;2;1;
Valencia;6;9;8;4;2;1;3;
Burgos;6;5;4;9;1;3;2;
At. Madrid;7;13;8;6;4;2;1;
Real Sociedad;7;8;4;7;2;3;2;
Barcelona;7;19;12;3;6;0;1;
Ath. Bilbao;7;11;8;4;3;2;2;
