site_id,date,pm10,pm2.5
at0ill1,2023-01-01,18.279,16.07
at0ill1,2023-01-02,13.359,12.36
at0ill1,2023-01-03,11.934,10.135
at0ill1,2023-01-04,8.834,7.792
at0ill1,2023-01-05,5.947,5.075
at0ill1,2023-01-06,7.881,6.741
at0ill1,2023-01-07,13.272,12.089
at0ill1,2023-01-08,24.625,20.094
at0ill1,2023-01-09,5.894,5.213
at0ill1,2023-01-10,3.128,2.709
at0ill1,2023-01-11,5.314,4.481
at0ill1,2023-01-12,9.211,8.048
at0ill1,2023-01-13,18.184,15.823
at0ill1,2023-01-14,8.724,7.736
at0ill1,2023-01-15,6.867,6.224
at0ill1,2023-01-16,3.65,3.351
at0ill1,2023-01-17,6.99,6.402
at0ill1,2023-01-18,8.287,7.47
at0ill1,2023-01-19,10.081,9.291
at0ill1,2023-01-20,12.705,11.649
at0ill1,2023-01-21,8.551,8.016
at0ill1,2023-01-22,11.867,11.215
at0ill1,2023-01-23,16.109,15.144
at0ill1,2023-01-24,15.805,14.738
at0ill1,2023-01-25,12.942,11.847
at0ill1,2023-01-26,24.284,21.913
at0ill1,2023-01-27,15.95,14.846
at0ill1,2023-01-28,16.485,15.416
at0ill1,2023-01-29,14.696,13.639
at0ill1,2023-01-30,15.872,14.587
at0ill1,2023-01-31,3.487,2.881
at0ill1,2023-02-01,2.506,2.148
at0ill1,2023-02-02,1.736,1.444
at0ill1,2023-02-03,1.656,1.435
at0ill1,2023-02-04,2.66,2.155
at0ill1,2023-02-05,5.34,4.919
at0ill1,2023-02-06,15.315,13.697
at0ill1,2023-02-07,26.132,23.586
at0ill1,2023-02-08,24.335,21.802
at0ill1,2023-02-09,28.787,25.96
at0ill1,2023-02-10,26.994,21.855
at0ill1,2023-02-11,22.951,18.222
at0ill1,2023-02-12,14.315,12.093
at0ill1,2023-02-13,11.877,9.372
at0ill1,2023-02-14,16.211,13.276
at0ill1,2023-02-15,27.718,22.507
at0ill1,2023-02-16,35.923,28.396
at0ill1,2023-02-17,27.504,22.499
at0ill1,2023-02-18,5.994,4.597
at0ill1,2023-02-19,1.982,1.411
at0ill1,2023-02-20,5.383,3.841
at0ill1,2023-02-21,3.913,2.607
at0ill1,2023-02-22,10.84,8.38
at0ill1,2023-02-23,26.147,20.436
at0ill1,2023-02-24,30.349,23.108
at0ill1,2023-02-25,3.616,2.702
at0ill1,2023-02-26,4.54,3.833
at0ill1,2023-02-27,8.809,7.149
at0ill1,2023-02-28,20.409,15.759
at0ill1,2023-03-01,31.552,23.054
at0ill1,2023-03-02,37.824,28.642
at0ill1,2023-03-03,37.098,27.704
at0ill1,2023-03-04,26.713,20.867
at0ill1,2023-03-05,10.247,8.259
at0ill1,2023-03-06,18.463,13.573
at0ill1,2023-03-07,22.191,18.002
at0ill1,2023-03-08,18.442,14.429
at0ill1,2023-03-09,6.548,4.289
at0ill1,2023-03-10,9.875,6.703
at0ill1,2023-03-11,3.522,1.948
at0ill1,2023-03-12,7.429,5.8
at0ill1,2023-03-13,12.981,9.061
at0ill1,2023-03-14,6.137,3.305
at0ill1,2023-03-15,5.323,3.607
at0ill1,2023-03-16,12.376,8.603
at0ill1,2023-03-17,15.248,10.449
at0ill1,2023-03-18,18.599,12.254
at0ill1,2023-03-19,22.986,17.072
at0ill1,2023-03-20,19.392,14.607
at0ill1,2023-03-21,13.327,6.941
at0ill1,2023-03-22,17.71,10.729
at0ill1,2023-03-23,28.81,19.028
at0ill1,2023-03-24,27.741,18.022
at0ill1,2023-03-25,2.036,1.466
at0ill1,2023-03-26,2.486,1.825
at0ill1,2023-03-27,3.026,2.154
at0ill1,2023-03-28,4.476,2.825
at0ill1,2023-03-29,8.551,6.257
at0ill1,2023-03-30,13.92,10.006
at0ill1,2023-03-31,5.682,4.106
at0ill1,2023-04-01,1.133,0.822
at0ill1,2023-04-02,3.536,2.933
at0ill1,2023-04-03,6.715,5.349
at0ill1,2023-04-04,12.02,7.783
at0ill1,2023-04-05,9.917,7.379
at0ill1,2023-04-06,16.847,11.712
at0ill1,2023-04-07,24.477,19.317
at0ill1,2023-04-08,12.757,10.94
at0ill1,2023-04-09,16.684,14.233
at0ill1,2023-04-10,21.412,18.137
at0ill1,2023-04-11,12.953,10.749
at0ill1,2023-04-12,6.115,3.976
at0ill1,2023-04-13,6.188,4.689
at0ill1,2023-04-14,1.232,0.98
at0ill1,2023-04-15,2.371,1.922
at0ill1,2023-04-16,5.004,4.231
at0ill1,2023-04-17,11.497,9.88
at0ill1,2023-04-18,10.594,9.038
at0ill1,2023-04-19,13.307,11.337
at0ill1,2023-04-20,15.484,13.13
at0ill1,2023-04-21,23.543,13.287
at0ill1,2023-04-22,22.745,13.39
at0ill1,2023-04-23,17.961,11.515
at0ill1,2023-04-24,6.156,4.598
at0ill1,2023-04-25,3.557,2.854
at0ill1,2023-04-26,8.75,6.354
at0ill1,2023-04-27,13.278,8.068
at0ill1,2023-04-28,17.507,11.677
at0ill1,2023-04-29,17.465,14.372
at0ill1,2023-04-30,11.596,9.395
at0ill1,2023-05-01,12.45,8.879
at0ill1,2023-05-02,13.521,11.201
at0ill1,2023-05-03,14.853,12.382
at0ill1,2023-05-04,13.511,9.636
at0ill1,2023-05-05,16.351,9.82
at0ill1,2023-05-06,14.168,10.285
at0ill1,2023-05-07,15.152,12.529
at0ill1,2023-05-08,13.343,9.993
at0ill1,2023-05-09,12.755,7.305
at0ill1,2023-05-10,12.713,6.291
at0ill1,2023-05-11,14.172,6.839
at0ill1,2023-05-12,8.748,6.914
at0ill1,2023-05-13,17.73,13.183
at0ill1,2023-05-14,12.504,10.063
at0ill1,2023-05-15,4.415,3.188
at0ill1,2023-05-16,9.281,7.51
at0ill1,2023-05-17,4.955,4.025
at0ill1,2023-05-18,11.577,8.198
at0ill1,2023-05-19,11.593,8.931
