site_id,date,pollutant,value
at0ill1,2023-01-01,no2,6.234
at0ill1,2023-01-02,no2,9.243
at0ill1,2023-01-03,no2,17.199
at0ill1,2023-01-04,no2,6.28
at0ill1,2023-01-05,no2,4.881
at0ill1,2023-01-06,no2,5.108
at0ill1,2023-01-07,no2,6.193
at0ill1,2023-01-08,no2,7.953
at0ill1,2023-01-09,no2,5.092
at0ill1,2023-01-10,no2,4.673
at0ill1,2023-01-11,no2,5.209
at0ill1,2023-01-12,no2,6.281
at0ill1,2023-01-13,no2,7.628
at0ill1,2023-01-14,no2,3.855
at0ill1,2023-01-15,no2,3.136
at0ill1,2023-01-16,no2,3.345
at0ill1,2023-01-17,no2,4.45
at0ill1,2023-01-18,no2,5.667
at0ill1,2023-01-19,no2,8.197
at0ill1,2023-01-20,no2,10.084
at0ill1,2023-01-21,no2,8.176
at0ill1,2023-01-22,no2,8.735
at0ill1,2023-01-23,no2,15.051
at0ill1,2023-01-24,no2,13.762
at0ill1,2023-01-25,no2,6.881
at0ill1,2023-01-26,no2,10.829
at0ill1,2023-01-27,no2,10.368
at0ill1,2023-01-28,no2,8.831
at0ill1,2023-01-29,no2,6.077
at0ill1,2023-01-30,no2,9.325
at0ill1,2023-01-31,no2,3.986
at0ill1,2023-02-01,no2,3.53
at0ill1,2023-02-02,no2,3.939
at0ill1,2023-02-03,no2,3.3
at0ill1,2023-02-04,no2,2.345
at0ill1,2023-02-05,no2,2.594
at0ill1,2023-02-06,no2,7.5
at0ill1,2023-02-07,no2,13.566
at0ill1,2023-02-08,no2,11.318
at0ill1,2023-02-09,no2,9.618
at0ill1,2023-02-10,no2,9.747
at0ill1,2023-02-11,no2,11.09
at0ill1,2023-02-12,no2,9.103
at0ill1,2023-02-13,no2,11.656
at0ill1,2023-02-14,no2,8.939
at0ill1,2023-02-15,no2,9.568
at0ill1,2023-02-16,no2,14.703
at0ill1,2023-02-17,no2,13.593
at0ill1,2023-02-18,no2,6.239
at0ill1,2023-02-19,no2,4.516
at0ill1,2023-02-20,no2,4.261
at0ill1,2023-02-21,no2,4.62
at0ill1,2023-02-22,no2,6.644
at0ill1,2023-02-23,no2,8.84
at0ill1,2023-02-24,no2,9.313
at0ill1,2023-02-25,no2,4.099
at0ill1,2023-02-26,no2,3.105
at0ill1,2023-02-27,no2,4.983
at0ill1,2023-02-28,no2,7.648
at0ill1,2023-03-01,no2,14.543
at0ill1,2023-03-02,no2,15.6
at0ill1,2023-03-03,no2,17.047
at0ill1,2023-03-04,no2,11.607
at0ill1,2023-03-05,no2,5.941
at0ill1,2023-03-06,no2,8.766
at0ill1,2023-03-07,no2,8.84
at0ill1,2023-03-08,no2,8.352
at0ill1,2023-03-09,no2,5.438
at0ill1,2023-03-10,no2,6.248
at0ill1,2023-03-11,no2,3.379
at0ill1,2023-03-12,no2,4.607
at0ill1,2023-03-13,no2,5.335
at0ill1,2023-03-14,no2,4.759
at0ill1,2023-03-15,no2,3.993
at0ill1,2023-03-16,no2,5.368
at0ill1,2023-03-17,no2,4.786
